movie_id,award_id,year
9177,23,1992
2,18,1992
4422,4,2002
7383,13,2007
5990,9,1982
6870,5,1997
3266,14,1992
5501,23,1985
8295,8,1999
7302,23,1991
5622,8,1989
8992,17,1990
5818,8,2017
9135,6,2006
537,20,2019
408,21,2009
308,15,2018
7812,15,1982
7376,16,2018
7317,18,2006
9493,9,1985
5151,6,1975
3855,11,1978
2013,18,1976
2547,24,1997
8269,23,1981
9163,5,1975
5930,8,1993
7857,20,1972
9667,9,1990
2922,11,1999
5043,10,2012
7463,14,1999
7136,25,1985
1419,13,1987
4417,4,1974
8857,16,2014
9971,9,1979
5218,18,1985
159,25,1989
4862,3,2018
3318,11,1982
7517,23,1984
2733,23,2017
7752,13,1978
762,10,1996
8097,9,1987
2431,21,2000
848,2,1992
7261,7,1979
2475,2,1978
1894,2,2013
5139,15,1985
996,11,1982
2514,3,1975
1355,5,1986
7824,7,2013
882,16,1991
7536,25,2013
8068,5,1988
4108,10,2018
646,25,2012
9820,6,1981
2943,7,1971
8497,11,2004
8061,5,1991
4447,5,1976
5605,5,1971
3540,1,1976
4381,4,2004
7361,15,1996
7463,24,2017
6598,11,2019
41,17,1981
7460,19,2002
4556,20,1999
1459,7,1993
9426,6,1971
2500,14,2004
993,23,1987
531,2,2015
3236,12,1992
715,7,1990
7078,16,1982
2457,24,1995
5701,14,1977
3946,14,1987
4911,8,1981
556,10,2014
5022,6,1981
2003,1,1996
7439,7,1989
3803,6,1983
7369,12,2006
8842,2,2003
2368,23,1984
1465,15,2001
9005,22,2012
2504,2,2005
5515,23,2012
9793,22,1972
4128,20,2017
7564,17,1979
608,21,1987
9575,1,1994
4278,5,1995
7532,20,1987
4161,10,1980
5418,8,1985
5139,7,2020
9989,19,1976
5759,5,1979
9033,6,2019
8718,14,1986
3336,24,2019
402,2,2005
959,23,1982
7242,22,1975
7247,8,1995
9785,8,2004
5900,20,2004
6228,13,2005
4810,10,2009
7942,22,1979
9326,7,1994
4672,7,1991
2811,19,1993
7563,2,1979
9258,5,1972
334,15,1994
2002,16,1996
5512,9,1990
553,2,1986
8248,9,2007
1557,16,2019
8444,18,1987
373,22,2006
9498,16,2015
5358,24,2003
7291,2,1998
3531,17,2017
8389,12,2013
6672,15,1975
4306,10,1993
1409,25,1976
6295,3,2011
7708,16,2011
9051,12,1987
4007,19,2012
9136,17,1975
7843,12,2015
9063,22,2020
9309,25,2017
4125,16,1993
3694,16,1987
5762,25,1974
8541,14,2017
4214,18,1990
4213,13,1977
8068,4,1992
7887,25,2004
2134,22,1974
2652,24,1972
4098,10,1975
2755,1,1995
8536,21,2000
5628,19,1990
8562,17,1991
5534,11,2017
6736,21,1971
7216,17,2020
772,16,1992
6770,19,1999
3714,11,1991
4430,22,2016
1606,6,2011
2999,7,1982
590,5,1991
8818,2,2000
2313,18,1994
9673,7,2013
4162,1,2020
1537,4,1992
