genre_id,movie_id,year
13,11,2014
17,1290,1974
8,4468,1979
7,9973,1978
9,4444,2012
16,1468,2011
6,209,2002
16,1547,1987
16,7612,2002
8,4444,2016
11,9110,1976
2,3689,2005
5,3957,2017
7,3312,1976
2,5110,1988
8,6376,1976
11,7600,2005
6,7551,2014
4,9058,1998
4,2052,2004
14,5773,1998
8,1123,2004
5,7661,2000
11,4832,1988
8,6718,1983
15,1559,1976
17,8176,2004
13,6616,1990
9,966,1998
11,9152,2006
17,8970,2011
4,5562,1999
18,2686,2015
1,7226,1977
5,8738,1982
12,1959,2001
18,9494,1977
5,3496,1978
13,1228,2003
5,8030,2009
8,9306,2017
5,563,1989
7,1798,1981
9,6679,1990
4,882,1978
12,7411,1993
11,1342,1994
7,9641,2013
14,3642,1989
13,2701,2010
10,1732,2011
16,5380,1977
6,1294,2012
14,7172,2010
11,5966,1999
1,196,2014
3,8416,1980
4,9089,2007
17,8574,2018
8,4975,2007
2,9097,2020
9,5355,1972
9,168,1986
6,1420,2010
5,8571,2000
7,6081,1974
2,2862,2020
1,9439,2010
7,8011,1998
17,4045,1994
7,9332,2013
12,901,2020
8,7297,2009
5,9737,1984
11,2205,2006
18,1404,2015
5,1033,1972
9,603,1992
5,3691,1980
10,5618,2004
14,517,1989
3,3347,1992
5,488,1984
9,1392,2003
8,3376,1973
6,3765,1979
17,6697,2006
2,316,1997
12,9513,2000
7,4210,2011
8,9741,2009
8,4267,1988
5,1205,1996
2,3149,2006
11,5415,1982
1,8197,2005
13,824,1971
6,2315,1980
17,5575,2013
15,1684,1997
15,1770,1990
3,4569,2014
17,7427,2020
11,7333,2016
2,7300,1973
17,5465,1979
18,5402,2017
8,6848,2011
7,867,2011
9,3319,2010
18,8814,1976
7,7811,1996
6,2371,2003
18,2772,1974
15,5214,2005
12,8572,1974
3,7773,1982
1,1700,1986
5,8169,2013
5,7,2015
2,1808,1973
7,7392,1997
16,8648,1990
15,2170,2014
4,6579,1971
14,1306,2012
9,6242,1990
7,9552,1982
14,2263,2017
17,4303,1972
17,6176,1995
1,8081,1982
17,3048,2004
12,2794,1974
8,6396,1999
17,9059,2020
15,984,2009
9,6859,1975
2,8586,2016
7,6597,1985
14,5883,2006
18,6255,1982
15,5677,2007
8,1469,1982
11,1670,2007
9,4686,2006
18,8685,1999
14,4993,1972
6,3801,1982
13,6959,1971
1,83,1980
1,6744,1973
16,4444,1998
4,8778,2004
15,9568,1979
9,724,2004
15,3028,2011
3,2281,2015
1,7883,2002
16,7558,2011
7,4691,2014
9,8280,1988
8,4803,1986
13,5809,1976
13,5671,1974
5,1273,2015
15,5286,1981
8,7424,1975
14,3824,2004
12,9145,2010
1,6818,1995
5,2523,1996
5,4296,1983
3,5524,1999
1,6782,2006
10,5649,1994
16,3603,1982
4,832,1974
3,8861,1988
12,9831,1978
9,2582,1997
10,8988,2011
16,8185,2000
9,2788,1991
13,2310,2020
14,4428,1996
2,2570,2019
10,9407,1998
5,6561,1977
1,4471,1993
7,5436,1986
12,7204,1973
12,2075,2006
3,4733,2016
17,2271,2016
14,6076,2013
13,7601,1988
14,2427,2006
12,3927,2007
16,5241,2016
12,7986,1985
7,5332,1978
9,2331,2015
9,4148,2017
18,9807,1975
11,4171,1997
17,1153,1993
17,8747,2013
8,3521,2003
17,3529,1990
16,1767,1981
13,2309,1997
2,212,1997
7,3565,1984
16,7378,1988
18,552,1995
8,6262,2014
15,8730,2016
5,2182,2006
8,6595,1978
11,8910,2019
7,8570,1994
7,5401,1977
5,6704,1973
16,4239,2017
4,272,2007
16,9161,2013
1,4058,1974
17,8011,2020
1,7567,1998
5,337,1980
5,2597,1999
12,3672,1977
10,7105,2018
4,8975,2000
15,7725,1985
16,454,1981
2,3629,1977
5,1248,2000
11,9526,2006
1,736,2012
8,2599,1978
1,3444,1981
13,1722,2011
9,7432,1991
6,2308,2020
7,9480,2007
16,536,1973
11,5992,2000
11,9312,1984
18,5562,1985
2,2396,2009
17,551,2012
5,355,2017
6,4920,2016
9,9066,1987
6,3216,2008
4,3655,1991
11,9696,1997
8,1153,2014
4,1666,1989
8,1372,2007
5,2277,1975
9,8440,2014
9,6719,1995
16,5961,2003
3,4261,1981
12,9889,1989
6,7302,1974
9,6571,2015
12,1654,2015
10,8688,1996
12,4227,1990
12,4089,1972
13,3248,1984
11,3608,2003
8,1482,2011
13,9347,1975
6,6740,1976
1,9124,1985
3,740,2005
3,5075,1982
4,8445,2007
2,3775,1979
10,1782,2011
12,9580,2013
8,3339,1994
8,9204,1988
6,791,1993
4,8852,1989
14,1008,1988
16,4218,1994
11,3156,1988
10,5568,2014
1,3713,1990
3,8579,2018
7,6600,1986
13,6966,1986
8,7855,2017
13,1290,1979
1,2283,2016
10,1445,1971
14,4233,2002
6,858,2008
1,8083,1997
17,7624,2000
13,383,1995
14,5243,1972
14,8762,2003
8,7313,1991
18,2857,2014
11,2018,2005
9,758,1990
14,765,2019
5,8093,2001
2,8957,1993
12,9246,1996
3,6566,2009
16,4240,2012
5,8471,2006
1,3527,1975
2,3527,2005
8,4623,1996
11,5925,1979
8,7527,2008
14,6399,2012
12,6617,2020
14,8605,2018
14,4930,1992
16,1659,1985
18,5293,2010
10,99,2013
13,4583,1970
14,6603,1993
4,5716,1978
2,4344,1994
13,6068,1997
2,996,2001
3,1138,2007
10,884,1982
15,1710,2017
3,1876,1972
11,5151,1993
18,2194,1982
1,9830,1999
7,7628,2006
3,2876,1997
1,5920,1978
12,4945,1976
5,4578,1989
2,276,2006
3,5420,1982
16,6745,2016
12,2872,2012
14,6404,1974
5,4452,2000
11,8944,2009
8,5829,2003
5,1043,1987
2,4151,2007
7,1438,2015
5,5398,1988
15,4255,2000
16,6952,1973
14,8448,2000
18,2596,1993
7,2716,2011
9,2470,1987
8,3667,2015
5,9466,1974
17,4845,2017
7,264,2008
12,7147,1992
3,110,1973
9,2292,1998
3,2984,1990
3,3669,2009
6,5953,1988
11,4541,1985
8,2612,2001
6,528,2016
10,7875,2006
2,8426,2012
16,7138,1973
13,6830,2018
12,1916,1987
3,1366,1993
18,1879,2004
14,3679,2006
13,9037,1985
12,5578,2005
7,8578,1996
5,2817,2016
17,7350,2006
3,8749,1988
9,2079,1996
15,238,1988
11,4963,1982
17,890,1975
16,8311,1985
5,1794,2020
5,8949,1991
6,8719,1986
9,4012,1980
12,1396,2003
1,5017,1973
7,5508,2018
10,6623,2000
13,6292,1974
10,8583,1999
13,9987,2012
15,741,2014
8,4994,1972
2,877,1985
12,6754,2002
16,3016,2015
12,7591,1971
1,5008,2001
6,3078,2003
4,9701,1987
4,3544,1992
3,9450,2007
13,1586,1972
7,6297,1999
18,5053,1979
2,6612,2012
17,4390,1986
14,1997,1995
4,2662,2019
4,4294,2015
7,7150,2018
16,7570,1972
15,2333,1970
9,8466,1986
1,2710,1974
10,3163,1996
16,9746,1983
14,8472,2009
2,8514,1979
12,6338,1980
1,5042,1994
16,9226,1982
5,3593,1972
13,9677,1971
17,7905,1971
18,8695,1980
14,2125,2000
14,7913,2004
17,8638,2007
11,7179,1995
18,7495,2011
18,85,1997
1,256,2001
5,9882,1990
18,4887,1989
14,3433,1990
15,3780,1987
10,3689,2012
10,7404,2004
8,2419,2005
14,330,1972
9,3828,1976
13,9861,1984
18,3718,1982
9,6714,2011
15,2701,1976
11,968,1977
18,8689,2000
6,2005,1978
10,2681,2013
11,5100,1984
8,3186,2007
7,1548,1992
17,9462,2006
17,2216,1999
12,8514,2013
4,4170,2015
2,3457,1983
13,4320,2009
3,9225,1972
13,9449,1986
5,5082,2007
8,8158,1977
10,4200,1974
2,9388,1980
18,6405,1974
10,4873,1982
9,5509,1974
4,1039,1983
15,1117,2010
12,6185,2012
8,6890,2000
11,4420,1980
16,713,1989
7,5832,1976
2,9712,2007
14,9464,2001
5,4031,1991
6,5554,1976
1,8224,1991
15,6247,1981
3,8964,1999
16,2982,1989
3,9027,1975
14,6067,1993
2,3359,1984
11,9864,1989
11,2261,2008
10,559,1989
4,3331,2012
5,104,2010
18,4952,2006
11,2841,2017
13,647,1994
2,8657,2004
8,2447,2001
17,275,1971
13,5941,2007
3,5677,1990
18,3523,1980
17,260,2002
12,1571,2009
15,518,1979
13,8139,1998
5,8919,1983
10,2795,2011
6,6746,1992
1,5454,1977
8,6983,2008
7,8195,1997
18,5687,1996
1,5702,1981
14,6557,2016
2,6307,1991
17,1855,1995
17,1369,1987
6,7024,1977
6,1139,2018
10,3055,1973
6,5462,1988
11,3996,1982
16,9033,1989
4,5029,1987
2,9036,2018
17,416,1990
5,1443,2016
3,5148,1997
4,4098,2020
14,4850,2013
4,1177,1981
17,9507,1991
17,1481,1995
13,6080,2020
16,1692,1983
18,7488,1993
3,367,2008
17,2120,1985
4,5884,1985
9,8153,1987
5,5137,1997
18,7119,1983
17,705,1995
9,969,1996
15,8274,1977
14,7239,1974
9,1974,1990
7,5044,2004
12,8407,1982
12,9520,2014
13,2554,1989
14,4470,1980
17,8335,1997
17,6254,2013
14,3564,2013
1,3704,2015
15,4810,1994
15,5478,1991
2,6059,1980
8,4029,2015
3,6226,1980
18,589,1993
4,1361,1981
4,4664,1984
7,5928,2004
18,2997,1984
10,1322,1989
1,718,2017
17,7907,1986
18,8558,1981
3,6802,1983
10,4558,2008
16,4789,2006
10,7172,2011
4,351,2018
8,5844,2019
14,3466,1975
8,3605,1981
15,7255,2004
5,5800,1981
10,1404,2010
12,5688,2000
12,7974,2016
17,109,2018
8,7945,1971
6,8267,1987
18,341,2014
15,6573,1994
14,8372,2013
4,7865,2017
11,2216,1976
10,2518,1989
8,1995,1987
1,9195,1973
11,4772,2005
4,2500,1995
15,3034,1995
1,3198,1972
1,6609,2002
16,8130,1979
5,2074,2014
3,608,2017
15,7549,1984
17,7743,2010
16,8309,1974
4,8536,1974
1,8696,1973
1,6149,1993
2,2188,1996
18,7957,1990
2,1310,2016
11,2770,2008
14,9779,2010
17,8670,1990
1,654,2016
5,4309,1980
3,292,1986
2,2508,2013
3,4985,1972
6,8601,2005
10,6649,1980
1,4742,1976
11,9406,2009
10,6461,1992
12,5164,1973
16,6175,1995
9,1374,2007
11,1752,1992
4,9941,1979
17,2115,1977
17,6647,2000
17,2256,2006
15,8446,1981
6,8314,1990
15,2668,1995
13,6839,2015
18,293,1995
5,1351,1984
5,7516,1996
15,602,2002
1,7766,2010
10,9683,2010
12,1334,1978
4,6497,2003
9,4150,2019
2,9589,1988
12,7815,1989
4,3272,1999
12,6044,1976
3,6427,1975
12,3258,1983
4,1757,1994
16,3335,2003
4,7169,2015
6,7838,1977
17,7173,1990
3,8591,1998
4,5152,2012
16,5127,2019
7,4882,1996
18,5806,1988
4,5630,1977
7,8809,1974
18,1929,1998
7,24,1985
4,6845,2011
14,1313,2019
7,692,1989
18,4543,1987
11,4554,1990
13,1905,1987
16,4438,1971
1,5083,1971
3,9026,1997
12,2672,2012
1,5457,1981
12,2902,1978
13,2612,1987
3,5471,1995
15,8816,2010
15,9739,2008
10,6592,2012
4,3539,2019
16,4827,1986
12,6864,1988
8,1998,1985
6,3377,1995
14,7049,1988
2,1614,1994
9,7861,2007
4,8073,1974
2,2269,1999
12,9836,1972
10,1338,2020
4,7460,1984
9,184,2014
15,9487,1981
5,2336,1971
17,5767,1997
10,968,2013
5,9762,1984
1,315,2003
17,892,2020
6,9525,1997
18,4410,1972
16,6906,1993
18,852,1972
11,1999,1993
3,2527,1975
13,1848,2002
14,8570,1982
1,4210,2012
13,9050,1998
10,1124,1991
7,4042,1991
13,6115,2019
2,9157,1976
10,9669,1978
10,271,1976
8,563,1993
3,4738,1974
17,2521,1973
9,517,1974
14,7997,1983
17,7448,1995
6,7632,1981
11,8985,2000
8,2597,1998
13,6624,1999
7,9518,1973
13,5530,2005
1,7355,2020
10,4468,2012
13,4108,1981
18,8349,1977
15,8716,1972
11,3485,1988
9,4320,1975
1,88,1991
5,515,1971
16,2845,1972
11,8863,1976
12,2009,1972
5,6559,2005
8,9554,1977
14,5686,1977
14,7035,1976
13,3714,1999
12,1960,1977
1,667,1973
4,9940,1974
8,7268,2006
17,8841,2018
18,9461,1988
1,5187,2017
5,3104,2007
1,8693,1986
4,1843,2014
12,830,1985
17,5551,2005
16,827,2001
5,6613,1986
7,6976,2003
4,3711,2011
3,2274,1983
8,2908,1994
3,6624,2019
9,213,2005
7,9190,1980
17,4566,2000
7,9815,1988
15,3496,1984
17,923,1974
5,5236,2015
16,9254,1992
7,8223,2003
12,2234,1998
9,5239,2014
4,9380,2005
1,9268,2001
6,6599,2014
3,1654,2013
1,7731,1980
2,6568,1986
12,80,2007
18,8277,2020
16,8741,1990
9,6180,2002
9,765,2016
8,224,2008
13,1098,1977
12,7609,1994
16,1768,1982
9,5726,2000
11,1418,2016
3,9959,1989
6,3633,2015
15,4747,2014
13,3881,1977
18,7168,1990
9,1991,1987
11,8406,1982
14,180,1999
5,348,1971
15,628,2008
14,6734,1971
14,8568,2007
4,9065,1981
13,5793,1977
7,3941,1994
15,2712,1991
14,6306,2017
5,8464,2018
3,4612,2004
9,8241,1985
11,7666,1980
16,5033,2015
1,5412,1980
3,6201,1986
4,8446,2005
2,6687,1979
12,6549,2007
11,5553,2018
14,4329,1973
3,7722,1985
6,8070,1979
17,9246,1973
11,6246,1992
13,198,1988
9,7129,1987
15,3125,2013
11,8151,2018
16,206,2016
3,851,1994
8,1176,2012
6,4168,1999
14,7089,1984
9,6838,1978
10,2987,1971
17,6075,2013
2,9088,1974
13,2294,1990
13,479,2013
17,5499,2004
15,4693,1974
11,3325,2007
5,3862,1973
6,9082,2007
12,873,1992
1,9334,1987
2,2534,1983
2,9828,1988
14,9165,2002
10,5310,1998
16,6890,1984
18,5699,1992
12,1553,1976
15,1349,1973
17,9596,1992
13,1751,2002
3,2259,2007
2,6292,1994
18,4401,1977
6,2174,1982
11,9454,2004
15,1407,1988
7,8828,1981
3,2183,1974
18,1693,1990
8,3889,1997
14,9358,2018
2,4923,1977
5,1415,1981
4,5007,2014
18,2632,2013
7,627,1977
8,860,1985
1,4051,1985
16,9455,2019
11,4258,1994
10,6959,1993
6,2984,2003
16,2006,1987
12,1699,1986
14,7333,1981
17,4082,1976
8,845,1994
11,2012,2020
7,8374,2003
9,4841,1993
9,828,2012
13,6586,1995
3,1823,1973
16,5379,2015
1,5181,2007
12,3139,1984
12,5615,2010
12,3213,2000
13,9381,1982
10,3298,1979
3,7683,1982
4,8491,1987
11,7082,1996
13,7009,1975
5,999,2017
5,8956,1984
2,9422,1998
16,2072,1998
7,6677,2011
7,5351,2005
12,979,1994
8,1112,2017
9,567,1991
13,240,2017
13,1036,2005
17,9367,2009
11,8444,1972
17,9389,1978
12,7717,2018
15,3609,1990
9,7168,1995
13,5192,2007
6,9434,1986
9,2771,1992
6,8033,1977
10,7766,1989
7,368,2002
14,3032,2020
16,686,1984
8,2406,1985
18,6466,1989
2,1880,1993
13,9380,2001
16,8345,1988
18,7772,1999
14,2560,2008
1,8211,1974
14,1909,1998
8,8012,2015
7,2671,2015
12,1545,1976
15,2987,1987
18,3075,2018
5,7223,1975
10,8656,1995
5,9707,2007
4,1824,1981
17,1758,1988
18,8279,1987
8,2453,1978
6,8275,2015
16,8386,2005
5,7048,1985
13,4835,2004
15,5560,2011
2,9551,1984
16,120,2017
5,3071,1981
2,5323,1996
13,81,2006
13,8005,1978
3,2869,2011
7,1171,1979
16,2580,2014
3,7167,2009
8,4016,1985
2,9901,1986
